grant_id,full_name,faculty_id,faculty_name,match_score,proposed_is_copi
652630,Penny J Beuning,926928,"BEUNING, PENNY J",100.0,True
652779,ming wang,65927,"WANG, MING L",100.0,False
653886,Matthias Felleisen,141121,"FELLEISEN, MATTHIAS",100.0,False
654027,Moira Zellner,1526463,"ZELLNER, MOIRA",100.0,True
654716,Scott Valcourt,1516489,"VALCOURT, SCOTT ANTHONY",100.0,False
654845,Peter Furth,141917,"FURTH, PETER G",100.0,False
655641,David DeSteno,148266,"DESTENO, DAVID A",100.0,False
656280,Yung Joon Jung,959185,"JUNG, YUNG JOON",100.0,False
656392,ming wang,65927,"WANG, MING L",100.0,False
656517,David Lazer,555562,"LAZER, DAVID M J",100.0,False
656773,Seth Hutchinson,2481837,"HUTCHINSON, SETH",100.0,True
657166,Aron Stubbins,1876304,"STUBBINS, ARON PAUL",100.0,True
657392,Richard Melloni,144896,"MELLONI, RICHARD H",100.0,False
657816,James Benneyan,130033,"BENNEYAN, JAMES C",100.0,False
657820,Pran Nath,141760,"NATH, PRAN",100.0,False
657920,Guevara Noubir,148184,"NOUBIR, GUEVARA",100.0,False
658435,Vincent Harris,144601,"HARRIS, VINCENT G",100.0,False
658593,Brian Helmuth,197469,"HELMUTH, BRIAN",100.0,False
659010,Laura Lewis,449227,"LEWIS, LAURA H",100.0,False
659010,Latika Menon,957973,"MENON, LATIKA",100.0,True
659115,Latika Menon,957973,"MENON, LATIKA",100.0,False
659561,Rupal Patel,141211,"PATEL, RUPAL",100.0,False
659562,Deniz Erdogmus,60309,"ERDOGMUS, DENIZ",100.0,False
659562,Rupal Patel,141211,"PATEL, RUPAL",100.0,True
659716,Yung Joon Jung,959185,"JUNG, YUNG JOON",100.0,False
659759,Latika Menon,957973,"MENON, LATIKA",100.0,True
659943,Wolfgang Gatterbauer,1872002,"GATTERBAUER, WOLFGANG",100.0,True
659955,Jennifer Dy,141178,"DY, JENNIFER G",100.0,False
660185,Carol Livermore,1130479,"LIVERMORE, CAROL",100.0,False
660375,Rifat Sipahi,933421,"SIPAHI, RIFAT",100.0,False
660485,Ibrahim Zeid,148841,"ZEID, IBRAHIM",100.0,False
660485,Mohamad Metghalchi,141505,"METGHALCHI, MOHAMAD",100.0,True
660485,Claire J Duggan,141388,"DUGGAN, CLAIRE",100.0,True
660796,Laura Lewis,449227,"LEWIS, LAURA H",100.0,False
661243,Hongwei Sun,1018793,"SUN, HONGWEI",100.0,False
661262,William H Miles,141679,"MILES, WILLIAM F",93.33333333333333,True
661421,Kevin Fu,1538316,"FU, KEVIN",100.0,True
661555,David R Kaeli,148296,"KAELI, DAVID R",100.0,True
661713,Cristina Nita-Rotaru,1675635,"NITA-ROTARU, CRISTINA",100.0,False
661747,Guevara Noubir,148184,"NOUBIR, GUEVARA",100.0,False
661747,Rajmohan Rajaraman,141967,"RAJARAMAN, RAJMOHAN",100.0,True
661756,Edmund Yeh,1134983,"YEH, EDMUND",100.0,False
661990,Mingzhong Wu,2810099,"WU, MINGZHONG",100.0,False
662005,Peter Topalov,959566,"TOPALOV, PETER Y",100.0,False
662072,Ahmed Busnaina,141501,"BUSNAINA, AHMED",100.0,False
662072,Nicol E McGruer,141404,"MCGRUER, NICOL",100.0,True
663599,Mario Sznaier,926130,"SZNAIER, MARIO",100.0,False
663599,Octavia I Camps,926134,"CAMPS, OCTAVIA",100.0,True
664155,Akram N Alshawabkeh,141504,"ALSHAWABKEH, AKRAM N",100.0,True
664588,Ibrahim Zeid,148841,"ZEID, IBRAHIM",100.0,False
664588,Ahmed A Busnaina,141501,"BUSNAINA, AHMED",100.0,True
664588,Claire J Duggan,141388,"DUGGAN, CLAIRE",100.0,True
664588,Sagar V Kamarthi,141459,"KAMARTHI, SAGAR V",100.0,True
664900,Pran Nath,141760,"NATH, PRAN",100.0,False
664905,Egon Schulte,141708,"SCHULTE, EGON",100.0,False
665045,Cristina Nita-Rotaru,1675635,"NITA-ROTARU, CRISTINA",100.0,False
665264,Steven Vollmer,622355,"VOLLMER, STEVEN V",100.0,False
665826,Hai-Ping Cheng,2878915,"CHENG, HAI-PING",100.0,False
945580,Sagar Kamarthi,141459,"KAMARTHI, SAGAR V",100.0,False
945580,Ibrahim Zeid,148841,"ZEID, IBRAHIM",100.0,True
947572,Mirek Riedewald,62652,"RIEDEWALD, MIREK",100.0,False
947821,Brian Helmuth,197469,"HELMUTH, BRIAN",100.0,False
1006092,Ning Wang,2689448,"WANG, NING",100.0,False
1006092,Ning Wang,2689448,"WANG, NING",100.0,True
1007650,Gordana Todorov,144852,"TODOROV, GORDANA G",100.0,False
671276,Tommaso Melodia,1793665,"MELODIA, TOMMASO",100.0,False
671552,Dionisio Bernal,141519,"BERNAL, DIONISIO",100.0,False
671593,Jerome F Hajjar,579392,"HAJJAR, JEROME F",100.0,True
671912,Christos Zahopoulos,141179,"ZAHOPOULOS, CHRISTOS",100.0,True
672778,James Benneyan,130033,"BENNEYAN, JAMES C",100.0,False
673022,Alexandru Suciu,148344,"SUCIU, ALEXANDRU ION",100.0,False
673113,Ramiro Martinez,1131086,"MARTINEZ, RAMIRO",100.0,False
673153,David Lazer,555562,"LAZER, DAVID M J",100.0,False
673282,Deniz Erdogmus,60309,"ERDOGMUS, DENIZ",100.0,False
673592,Auroop R Ganguly,1130404,"GANGULY, AUROOP R",100.0,True
